season,week,rank,team,record,description
2023,1,13,Seattle Seahawks,,"The Seahawks made it to the postseason a year ago despite going 4-6 in one-score games. So, if we assume Geno Smith performs much like he did in 2022, Seattle really has a chance to improve off what it accomplished last season. The leaky run defense was an area of concentration this offseason, and GM John Schneider added playmakers in rookies Jaxon Smith-Njigba and Zach Charbonnet . With the Cardinals and Rams possibly in rebuild mode, the Seahawksâ focus now must be on finding a way to beat the 49ers, who had their number in all three meetings last season. But they have time to figure that out, as they wonât face San Francisco until Weeks 12 and 14 ."
2023,1,14,Pittsburgh Steelers,,"Iâm starting to wonder if this is too low . The Steelers were hot down the stretch last season, winning seven of their last nine games (including four straight at the end), and all they did this preseason was blowtorch their three opponents. The latter must be weighed carefully, but it was hard not to see how fluid and explosive the first-team offense looked (five TDs in five drives). The AFC North should be one of the best divisions, and the 49ers will be a stiff Week 1 test , but the schedule really does lay out nicely for Pittsburgh. All of this depends on Kenny Pickett making a Year 2 jump. Also, the defense needs to give up fewer big plays, but most arrows appear to point upward."
2023,1,15,Minnesota Vikings,,"The Vikings won 13 games last season despite being outscored (-3 point differential). Going 11-0 in one-score games explains a lot of that, but it also raises the question of whether the Vikings -- who parted with some key contributors this offseason and are quite young on defense -- can repeat that effort in 2023. They should remain a fairly potent offense this season, but what new defensive coordinator Brian Flores can achieve with a heavily revamped unit could end up determining this teamâs ceiling. Harrison Smith should make more plays up in the box, and there are some interesting front-seven defenders, but the cornerback position concerns me. Itâs not hard to imagine a drop in wins, even if the defense improves."
2023,1,16,New Orleans Saints,,"The year is 2023, and weâre still talking about Michael Thomas and Jimmy Graham in New Orleans. How wild is that? Graham is back with the Saints for the first time since 2014, and itâs a story few could have imagined after Graham didnât play in the league last season. But of the two, I believe itâs Thomas who has the best chance to rewrite his career script -- and also make the Saints contenders this season. His injury issues have been nearly unending since 2020, but Thomas just might be ready for another big season after three years of pain. If Derek Carr has enough weapons and time to throw, the Saints could reclaim the NFC South in what feels like a transition period in the division."
2023,1,17,Atlanta Falcons,,"Awaiting Desmond Ridder is a chance to prove he is indeed Atlantaâs quarterback of the future . I think the Falcons are providing Ridder a pretty darned good surrounding cast -- a strong O-line, a potentially elite pair of running backs, Drake London , Kyle Pitts and, if healthy , Cordarelle Patterson . I also like Mack Hollins as a sneaky big-play option. With the blocking and run game, Ridder should be in favorable second- and third-down situations. If the defense becomes more of a takeaway unit (had just 17 last season) or generates a better pass rush (a 3.6% sack rate wonât cut it again) -- and I anticipate improvement in both areas -- itâll give Ridder better field position, too. Donât snooze on the Falcons, folks."
2023,1,18,Cleveland Browns,,"The Browns initially were my summer crush, the team I thought had the best chance to be this yearâs 2022 Vikings. But as the days wore on, with kicking issues and injuries darkening my thoughts, my eyes started to wander. Deshaun Watson almost certainly will be better than the version we saw on the field last season. But by how much? The division has a razor-thin margin, and the Browns lost six one-score games a year ago. They canât afford further kicking woes and disappointing QB play."
2023,1,19,New York Giants,,"Brian Daboll built up a lot of goodwill with his surprising first-year success, which included the Giantsâ first postseason win in 11 years. How high can this team fly? The Darren Waller acquisition and more speed at receiver give the offense a higher ceiling. This is a more talented team than last yearâs version. But the defense must do a better job against the run and force more turnovers to net improvement in the standings. The front-seven reinforcements should help the run defense, but the takeaway question lingers. Big Blue's 13 fumble recoveries a year ago were the NFLâs second-most, but the six INTs were tied for last. Can a reshuffled secondary (that likely will feature two rookies playing big roles) change that?"
2023,1,20,Denver Broncos,,"We can slice and dice the roster any way we want, but letâs be honest: This season boils down to what Sean Payton and Russell Wilson do. Payton was out of the game for a year, but his offenses ranked in the top 10 in points and yards 11 times during his run in New Orleans. Wilson was on a sure-fire Hall of Fame track, a singular playmaker for a decade in Seattle before the bottom dropped out in 2022. Will this pairing work? How Wilson fares this season will go a long way toward determining his future in Denver. But itâs not just Payton helping him out. I highly recommend the recent feature by colleague James Palmer, which lays out just how important a role new quarterbacks coach Davis Webb -- only months removed from his playing career -- might play in a potential Wilson rebound ."
2023,1,21,Green Bay Packers,,"The Packers' reported interest in Jonathan Taylor is interesting -- and I am not sure it has abated. The Colts resisted trading Taylor before cutdowns, but it doesn't feel like anything is settled in Indianapolis. The Packers' full youth movement is wild and exciting to watch unfold; on offense, David Bakhtiari (31) and Aaron Jones (28) are the only expected starters over the age of 27. Adding the 24-year-old Taylor only would make them younger. Could this play out as a transition season for Jordan Love and the Packers, similar to Aaron Rodgers ' first year starting in 2008? After that 6-10 campaign, Green Bay enjoyed a decade-plus of steady contention."
2023,1,22,Tennessee Titans,,"Especially on offense, the Titans feel like they're entering a flashpoint season, capable of going one of two ways. Either veterans Ryan Tannehill , Derrick Henry and DeAndre Hopkins flourish and put the Titans back in real contention, or they flame out collectively, pushing this franchise into the rebuild some ( not Jeffery Simmons !) thought might occur this offseason. But there are two younger players entering critical seasons who can go a long way toward helping the veteran core: WR Treylon Burks and LT Andre Dillard . After a tough rookie season , Burks dealt with an LCL sprain in August. Can his ability shine through? Is Dillard truly a first-round talent who never got a proper shake in Philly? If those two players flourish, the Titans could really have an offensive foundation in place. If they struggle, all bets are off."
2023,1,23,Washington Commanders,,"Defensively, this team should be very tough. The pass rush could be lethal if Chase Young ever gets healthy and figures it out. The secondary looks versatile and talented. Linebacker doesn't excite me, but it's hard to gripe too much. If Sam Howell can somehow have a 2022 Geno Smith type of season, why can't the Commanders make the playoffs? It would be a fitting development amid an ownership change, one that has rendered more excitement than the franchise has enjoyed in years. There's pressure on Ron Rivera to win now, one might imagine. But it's also surely there for offensive coordinator Eric Bieniemy, who must know how much a successful season could mean for his career."
2023,1,24,New England Patriots,,"Itâs hard to know what to expect from a team that looks like it could be fourth-best in the AFC East (arguably a top-two division in the league) in terms of talent. Sure, the Patriots can and will run the ball effectively, and the defense should be a good-to-very-good unit even without Devin McCourty , whose departure will be felt throughout the organization. But whereâs the offensive firepower? Rhamondre Stevenson can do a lot, and Ezekiel Elliott should help prevent the third-year back from wearing down, but the pass-catching group looks like a solid collection of second, third and fourth options. Thereâs no one player who changes the way teams will defend New England. Even with Bill OâBrien back in the fold, the Patriotsâ lack of an elite playmaker is far and away my biggest worry about this team entering the season."
2023,1,25,Carolina Panthers,,"There's bubbling support for the Panthers as potential NFC South champs, and ... sure, why not? Heck, they made a valiant run at it last season after firing their coach, shipping their star running back away in a trade and rolling with Sam Darnold and PJ Walker under center instead of the Week 1 QB, who was released in December . With No. 1 pick Bryce Young , a defense offering upside and new coach Frank Reich in place, one might argue their chances can't be dismissed. That's fair. But on cutdown day, Carolina jettisoned many players from the Matt Rhule regime, opting for youth at multiple spots. The excitement over Young is tangible, but this season's goals are more about Young's development, I suspect, than the Panthers' final win percentage."
2023,1,26,Chicago Bears,,"Justin Fields ' preseason work was fine, albeit brief. But with Fields due for a possible extension next offseason, everyone knows how important this season is to determining his future with the Bears, who are waiting for him to turn the proverbial corner. GM Ryan Poles recently said he needs to see more steps in his QB's development. ""Want those sack numbers to come down, interceptions to come down, make good reads, protect himself, just see him take that next step,"" Poles said . The dream, of course, would be for Fields to make a Jalen Hurts -esque leap from Year 2 to 3. Their second-year numbers actually compare quite favorably, although Fields' sack rate (14.7% last season to Hurts' 5.7% in 2021) and interception rate (3.5% last season to Hurts' 2.1% in 2021) truly are concerning outliers until proven otherwise."
2023,1,27,Las Vegas Raiders,,"Some observers might be focused on what a Jimmy Garoppolo -led Raiders offense might look like with Davante Adams , Jakobi Meyers , Michael Mayer and (now that he's returned following a contract standoff) Josh Jacobs . But if Las Vegas is truly serious about changing its trajectory, the defense must hold up its end of the bargain. Very little carries over year to year in the NFL, but the Raiders have been bottom dwellers in two major statistical categories over the past several years: turnovers and sacks. The Raiders forced a paltry 13 turnovers last season and -- get this! -- haven't topped 17 in a season since 2016, when Garoppolo and Josh McDaniels were winning a Super Bowl in New England together."
2023,1,28,Tampa Bay Buccaneers,,"What an interesting roster here, with some truly elite top-end talent ( Tristan Wirfs , Lavonte David , Mike Evans , Chris Godwin , Antoine Winfield Jr. ) but also six undrafted free agents making the opening 53 . Evans' recent contract drama puts his Bucs future in doubt, and it's worth remembering starting QB Baker Mayfield is on a one-year deal. It's not a complete youth movement, but it's headed that way. If Mayfield wants more time in Tampa, his mission is clear: avoid turnovers. He's had the most interceptions (64) in the NFL since 2018, and the Bucs' defense took a step backward in takeaways last season, giving the team a turnover differential of -2 -- one reason the Tom Brady-led iteration of this squad had to scratch its way to an 8-9 mark. Operating in the red on turnovers again won't lead to more wins."
2023,1,29,Indianapolis Colts,,"There has been a near-constant stream of disappointment for the Colts since dropping that fateful Week 18 game in January of 2022, and there's only so much light on the horizon, with Jonathan Taylor opening the season on the PUP list -- and with his contract demands remaining unresolved. It's not the way Indianapolis wanted to start the Anthony Richardson era, but these are the cards they've been dealt (and dealt to themselves). Richardson offers the best hope for a surprise season if he can have a Cam Newton-like Year 1. Newton helped the 2011 Panthers improve by four wins, limping to a slow start, then putting up an encouraging finish. That's a reasonable outlook, I think, for your 2023 Colts. Will Taylor be part of that? No one knows."
2023,1,30,Los Angeles Rams,,"Aaron Donald considered retirement following the Rams' Super Bowl LVI victory. After a trying 2022 season, he's back as the unquestionable leader of the Rams' defense as they try to climb back to respectability. It's a very young roster, which could result in early-season growing pains. Could Donald be moved to a contender if the Rams slip out of the race prior to 4 p.m. ET on All Hallows' Eve, a.k.a. the trade deadline? I wouldn't rule out a scenario similar to Von Miller exiting Denver to chase a Super Bowl with the Rams in 2021. Los Angeles is awash in dead cap money and would surely love to stockpile future assets. Trading Donald was once unthinkable, but now it feels like it will be a quite-reasonable possibility at some point."
2023,1,31,Houston Texans,,"What would represent a successful season for rookie QB C.J. Stroud ? Expectations will always be high for the second overall pick in any draft, but perspective is important. Twenty-two rookie QBs have started 12-plus games over the previous decade, and their collective averages are pretty middling: 3,161 passing yards, 60.7 percent completion rate, 17 TDs and 13 INTs in roughly 14 starts. Those numbers feel reasonable for Stroud. The run game will help, some of the young targets have promise and offensive coordinator Bobby Slowik is viewed as an up-and-comer. But the offensive line hasnât lived up to expectations, and Stroud threw cautiously in the preseason (4.5 yards/attempt). Heâll have Dalton Schultz and Robert Woods as security blankets, but this offense has limited firepower."
2023,1,32,Arizona Cardinals,,"Even the most optimistic onlooker has to expect a turbulent season and protracted rebuild for Arizona. Those things tend to happen to teams with a first-year head coach -- and those whose starting quarterback is out indefinitely to begin the season. But Iâll offer up the caveat that sometimes the preseason bottom dwellers end up being ... not terrible. Two years ago, the Bengals were widely expected to struggle and they ended up winning the AFC North. And about this time last year, the Falcons were commonly ranked among the lowest teams in the league only to finish with a 7-10 record. That's something, right?"
2023,2,1,San Francisco 49ers,1-0,"The 49ers dominated the first half against the Steelers and delivered the knockout blow to Pittsburgh two plays into the third quarter. Christian McCaffrey âs 65-yard run started with perfect execution up front. McCaffrey spun past the Steelersâ Levi Wallace and was aided by blocks from WRs Brandon Aiyuk and Ray-Ray McCloud III . It was just a devastating play from a 49ers offense that was in full command on the road in Week 1. I suspected San Francisco's defense would pick up where it left off, and it did just that. But the offensive explosion was the Week 1 headline, answering any questions anyone might have about the ability or health of QB Brock Purdy . Truly brilliant stuff."
2023,2,2,Kansas City Chiefs,0-1,"Now that weâve all had time to breathe -- and watch the other Week 1 games -- the Chiefsâ loss to the Lions doesnât feel quite as cataclysmic. Travis Kelce is making progress in his recovery from a knee injury, while Chris Jones will be back now that he and the team have agreed to a new one-year deal . Furthermore, the Raiders being the only AFC West team to win was another nice development for K.C. All that said, thereâs no getting over the fact that Kadarius Toney and Skyy Moore had a bad, no-good season opener. They combined for one catch (and three drops) on eight targets and 3 yards on two rushes. These are two players the Chiefs were -- and, I think, still are -- counting on pretty heavily this season. Can one of them step up? I think so, but Toneyâs performance in Week 1 scares me."
2023,2,3,Philadelphia Eagles,1-0,"One drive and two Patriots turnovers helped the Eagles build a 16-0 lead a little over 12 minutes into Sundayâs game , yet it was an absolute slog offensively from that point on. Philadelphia totaled 151 net yards and nine first downs over their next 10 possessions and ended up converting just four of their 13 third-down attempts. Despite benefitting from a few Patriots penalties, the Eaglesâ offense at no point resembled the group we saw become an elite unit in 2022. Perhaps the rust was expected based on the opponent, location and lack of preseason reps for the first-team offense. A quick turnaround for Thursdayâs game against the Vikings should reveal if these are chronic issues."
2023,2,4,Dallas Cowboys,1-0,"The Cowboys had a pedestrian night offensively -- two of their five touchdowns came via the defense/special teams -- and utterly dominated the Giants in MetLife Stadium. Even we true believers could not have imagined a defensive performance like that , rainy conditions or not. It took Dan Quinnâs unit about five plays to settle in and then completely dismantle the Giantsâ offense in a performance that wonât quiet the Super Bowl talk in Dallas. The one interesting offensive wrinkle for the 'Boys: a package of plays for KaVontae Turpin . After logging a grand total of four offensive touches in 2022, he had five on Sunday night. And they were pretty effective, too! Who said Mike McCarthy isnât a clever play-caller?"
2023,2,5,Miami Dolphins,1-0,"The Dolphinsâ performance against the Chargers should absolutely frighten the heck out of the rest of the league. The Fins fell flat offensively when they visited the Bolts last December , but they delivered a pretty big message on Sunday, racking up 536 yards in the shootout win. Miami didnât go two straight possessions without scoring and crossed Los Angeles' 30-yard line on every possession but one. I love how Mike McDanielâs schemes build room for his speedsters to get close to max mph as they get the ball. Most teams canât deal with the Dolphinsâ speed, I suspect. Sure, the defense must tighten up, especially against the run. But this has to be demoralizing game tape for Miami's opponents to watch."
2023,2,6,Detroit Lions,1-0,"Dan Campbell probably couldnât have scripted his teamâs road triumph over the Chiefs any better than it turned out. The Lions sent a big message to the rest of the league. Campbellâs â I didnât learn anything â comment after the game might feel like a trope, but this team had me believing. Did the offense sputter a bit more than I expected against a Chris Jones -less Chiefs defense? It did. Am I worried? Not particularly, especially if Jahmyr Gibbs â role is expanded a bit more. And how about that rookie class? With Gibbs and Sam LaPorta on offense and Jack Campbell and Brian Branch on defense, those first four picks look terrific so far. This roster oozes young, exciting talent."
2023,2,7,Jacksonville Jaguars,1-0,"Early mistakes put the Jaguars in a hole against the Colts , but it says something that the team could coolly move ahead late with some offensive flourishes and win comfortably enough on the road. Calvin Ridley is the real deal, as he and Trevor Lawrence looked like a perfect match in their first regular-season outing together. The early returns for Tank Bigsby were less encouraging. His go-ahead TD in the fourth quarter put the Jags ahead for good, but the rookie dropped a pass that became a pick in the second quarter and he lacked awareness on a bizarre play that led to a Colts defensive TD. Doug Pederson has trusted the third-round pick to this point, but Bigsby needs to tighten things up."
2023,2,8,Buffalo Bills,0-1,"Buffaloâs 11-play, 75-yard drive in the second quarter on Monday night -- capped by a fabulous Josh Allen-to-Stefon Diggs touchdown against a very good Jets defense -- felt like a massive statement. The message? âWeâre back.â Then the Bills were held out of the end zone for the next 35 minutes of football. After the touchdown, Allen threw two picks (giving him three total on the night) and lost a fumble. Just too many careless passes and poor overall ball security. Allen made big throws late, and his offensive line gave up a number of pressures, but he just seemed to make his job a lot harder than it needed to be. The Bills have a Super Bowl-caliber squad, but itâs predicated on the offense being much better than what we saw in the season-opening loss to the Aaron Rodgers-less Jets at MetLife."
2023,2,9,New York Jets,1-0,"No teamâs offseason narrative was rewritten more in Week 1 than the Jets', who immediately encountered overwhelming adversity in the form of Aaron Rodgers' season-ending injury . But given the way New York gutted out the overtime victory over Buffalo, itâs impossible not to respect this team. Such a bittersweet night for the Jets, who watched Breece Hall return from last season's ACL injury in style â¦ Garrett Wilson author an early Catch of the Year candidate â¦ Zach Wilson produce his biggest victory as a Jet â¦ Jordan Whitehead pick off three Josh Allen passes ... and Hard Knocks star Xavier Gipson deliver a legendary walk-off score . Rodgersâ injury cuts extremely deep. But New York's defense looks borderline elite, and the Hall- Dalvin Cook duo can handle the heavy lifting. Robert Salehâs team has plenty of grit and talent. Iâm still in."
2023,2,10,Baltimore Ravens,1-0,"Even without Mark Andrews in Week 1, expectations for the new offense were higher than what the Ravens produced against the Texans . It wasnât bad, mind you, but it's clear Baltimore is still adjusting to new offensive coordinator Todd Monkenâs system. What was bad: losing three offensive players to injury in the game. We already know RB J.K. Dobbins is done for the year with an Achilles tear , while OLs Ronnie Stanley (knee) and Tyler Linderbaum (ankle) are considered week to week, per head coach John Harbaugh. Even if the latter two are ultimately not long-term worries, the setbacks compounded an underwhelming opening offensive performance. The pieces are there for Baltimore to be dangerous on that side of the ball, as first-round pick Zay Flowers had a strong debut and Lamar Jackson flashed occasional magic. But the room for improvement is obvious."
2023,2,11,Cincinnati Bengals,0-1,"What to do with the Bengals? On the one hand, itâs easy to write off Week 1âs disaster performance based on history. The Browns delivered a similarly humbling loss to Cincinnati last Halloween and have had the Bengalsâ number defensively in recent meetings. Cincy also stunk in Week 1 last year, dropping a five-turnover clunker to Pittsburgh . Plus, Joe Burrow missed nearly all of training camp, which clearly hurt his and the offenseâs timing. The Browns certainly deserve defensive credit. But itâs just hard to imagine Burrowâs struggles lingering or the Bengals enduring another game where Tee Higgins has eight targets and zero catches. Yet, like a year ago, the offensive line fell flat in the opener. Thatâs the one issue that worries me long term."
2023,2,12,Los Angeles Chargers,0-1,"On a day when the offense was terrific, the defense turned in a mostly abysmal performance -- the kind that makes me question the Chargers. The Bolts' D, which is littered with talent, has continuity with nine returning starters. But the unit was picked apart by the Dolphins , one chunk play at a time, to the tune of 466 passing yards, the most ever allowed by any team with Brandon Staley as its head coach or coordinator, per NFL Research. Yes, Staleyâs defense looks worse than it did a year ago, even if one game is admittedly too small a sample size for grand pronouncements. The Chargers must find a way to avoid squandering Justin Herbert âs prime, and right now that starts on D."
2023,2,13,Cleveland Browns,1-0,"I won't harp on this yet, because the Browns' revamped defense absolutely turned in a banner performance in working over the Bengals in Week 1 , and that's a sign of progress. But it's a good thing Joe Burrow struggled more than Deshaun Watson did, because the Browns have some issues offensively, compounded by the season-ending injury on Sunday to RT Jack Conklin .The weather conditions in Cleveland were not ideal for pristine execution on Sunday, and it was encouraging to see the Browns try to stretch the field vertically and use Watson's legs as a real weapon, with the latter strategy at least being effective. But if Watson struggles again throwing the ball vs. an angry Steelers team in Week 2 , I am prepared to dive in deeper there."
2023,2,14,New Orleans Saints,1-0,"Derek Carr got his first win as a Saint, and the defense carried an outsized load in the victory over the Titans . But letâs talk special teams, because those units helped tip the game in New Orleansâ favor. Rookie kicker Blake Grupe won a camp battle and showed why against Tennessee, making all three field goals (including a game-tying 52-yarder) and his only extra point. He also blasted five touchbacks. Punter Lou Hedley is just as inexperienced, but he averaged 48.2 yards on five punts. Zack Baun âs blocked punt -- with Steve Gleason in the house! -- shows why he made the team despite having a minimal role on defense. The Saints have some things to clean up, but there were subtle shades of 2006 magic on Sunday."
2023,2,15,Green Bay Packers,1-0,"When you drill down on Jordan Love 's performance in the 38-20 win at Chicago, certain things need refinement. The Packers didn't mount a true drive until the second half, having been gifted twice with short fields early. But once Love settled in, he was pretty terrific , all things considered. He had to know how big a test this game would be and how much Packers and Bears fans weigh this rivalry. Love (with help from Aaron Jones ) delivered time and time again in the second half. The victory was also a celebration of some of the Packers' young defenders. Devonte Wyatt and Quay Walker , often disappointing as rookies last season, had big moments . Rookies Lukas Van Ness and Karl Brooks also showed up . This game checked a lot of boxes."
2023,2,16,Atlanta Falcons,1-0,"The run-heavy script was what we expected. But it's a little concerning that, of the Falcons' 18 throws in their win Sunday , only four went to Kyle Pitts and Drake London . And that was against a Carolina defense that was missing its best corner for much of the game. Pitts logged a few big catches, plus a 26-yarder called back on a London penalty, and running backs Tyler Allgeier and Bijan Robinson really looked great together. But otherwise, the offense didn't get it done. It was Week 1, sure, but even the respected O-line was a mixed bag. Desmond Ridder also didn't do much to quiet any doubters. The defense played great -- really, that unit won the game. Can the Falcons expect outstanding showings from Jessie Bates and Grady Jarrett every week? They might have to."
2023,2,17,Minnesota Vikings,0-1,"For all the encouraging signs Brian Flores' undermanned defense showed against Tampa Bay , the Vikings still couldn't take the ball away or get a crucial stop late. In the end, three offensive turnovers cost them dearly. Perhaps it's a sign that this year's Minnesota squad won't have the same fortune as the 2022 edition, which thrived in close-game situations. Then again, the Vikings almost won a game in which they were minus-3 in turnovers; teams that were minus-3 or worse in regular-season games in 2022 went 1-37. This was not a great Week 1 showing, but I am not ready to write this team off, either. It's just that there are enough tough games upcoming that it's hard not to be somewhat uneasy."
2023,2,18,Seattle Seahawks,0-1,"I donât know what it is about the Seahawks over the past few years, but it seems like once they patch one defensive hole, another leak springs. Last year, the run defense was that unitâs Achillesâ heel. In Week 1 against the Rams , the run defense was fine (except maybe in short yardage). The problem? Stopping the pass. Seattle allowed a Cooper Kupp -less Los Angeles offense to average nearly 9 yards per pass attempt. It looked like the Rams tried to spread the Seahawks out and make it a matchup game. Offensively, Seattle started out fine but completely fizzled after its defense blocked a field goal late in the second quarter. There was a lot to process from this game, but Sean McVayâs Rams have traditionally given Pete Carrollâs teams trouble, so I am not panicking -- yet."
2023,2,19,Pittsburgh Steelers,0-1,"Well, this didn't go as planned. The white-hot first-team offense we saw in the preseason was completely smothered early and only looked efficient for one have-to-have-it drive before halftime of Sunday's loss to the Niners . Kenny Pickett , who pledged to take a big step up this season, had two picks -- and he should have had a third, but Fred Warner just dropped a gift that hit him in the hands . Pickett's final stats (31-of-46 passing, 232 yards) put a cosmetic sheen on what was a bad day. His offensive line (he was sacked five times) and receivers (countless communication errors) did little to help. The run game was virtually abandoned after the early deficit was established. Sign of trouble or a one-game blip? Next Monday's game against the Browns, who dominated the Bengals defensively, will tell us a lot about the 2023 Steelers' offense."
2023,2,20,Denver Broncos,0-1,"The Broncos looked like a slightly cleaner version of what they were a year ago in Sundayâs loss to the Raiders . (Yes, I realize thatâs about as nice a compliment as âyouâve lost some weight!â) But ultimately, they lost another game they had ample chances to win -- a theme that was drilled home time after painful time last season. The lack of trustworthy weaponry worries me. Russell Wilson started the game cleanly, hitting 17 of his first 19 passes with two TDs, yet the Broncos ran out of gas thereafter. Ten penalties certainly hurt, but the lack of big-play threats with WR Jerry Jeudy sidelined for this game and TE Greg Dulcich knocked out with an injury felt stark. This wasnât a horrific start for the Sean Payton era, but it felt similar to an era most Broncos fans want to forget."
2023,2,21,Washington Commanders,1-0,"It wasnât the start Sam Howell and the offense wanted, especially in terms of pass protection. Turnovers, penalties and sacks were huge bugaboos in Week 1 against a rebuilding Cardinals team, yet Washington escaped with a four-point edge . Thatâs worrisome, but not yet a travesty. The offensive line, Howell and offensive coordinator Eric Bieniemy all can share some blame for the pass-pro mistakes. The Commandersâ defense showed it can take over games, but asking for that every week likely wonât fly for very long."
2023,2,22,Tennessee Titans,0-1,"I have an enormous amount of respect for the way Mike Vrabel coaches, especially when it comes to in-game decision-making. So, when Vrabel opted to kick a field goal down four points on fourth-and-6 from the New Orleans 11-yard line with 2:20 remaining, it stunned me. Next Gen Stats favored going for it over kicking the field goal by 5.9 percentage points. The Saints drained the rest of the clock on the ensuing possession and earned a 16-15 victory . Vrabel also declined a holding penalty on a third-down play in the third quarter, giving the Saints a 52-yard field goal try (which they made) to tie the game instead of pushing them back 10 yards for another third-down play. Didnât love that, either. Even after listening to him explain the decisions on Monday , I felt like these were head-scratchers from an otherwise very good game-managing coach."
2023,2,23,Las Vegas Raiders,1-0,"It was an ugly win against Denver, no doubt, but I think what resonated most for me was the Raiders' grit and resolve in tough spots. That's exactly what they lacked last year. Heck, go back and look at the first month of the 2022 season, and you'll see they lost four of their first five games by a total of 14 points. On Sunday, from the final minute of the first quarter on, no team led by more than 6 points. The Raiders kept tradition alive by committing 10 penalties, several of them hair-pullingly maddening, and Jimmy Garoppolo 's red-zone pick was a killer. But it's what the Raiders did after those mistakes that defined them in this game. It was a gutsy performance littered with reminders that living this dangerously every week will eventually come back to bite them."
2023,2,24,Tampa Bay Buccaneers,1-0,"Tampa Bay was lucky to not be behind at halftime of Sunday's win over Minnesota, thanks to three Kirk Cousins turnovers. Those takeaways only led to 3 points for the Bucs, but they did keep the Vikings off the scoreboard at least twice . Tampa's wide receivers stepped up in a big way, and offensive coordinator Dave Canales seemed dialed in late in his first game calling plays. But the offensive line and Baker Mayfield must improve going forward. Luke Goedeke and Robert Hainsey were flagged for holding, and Tristan Wirfs had a so-so day in his debut at left tackle. Mayfield got better as the game went on, and he avoided some would-be sacks, but his overall execution's lacking. His receivers bailed him out a few times."
2023,2,25,New England Patriots,0-1,"The Week 1 loss to the Eagles felt eerily similar to the Patriots' late-season defeat to the Bengals in 2022, in which New England fell behind 22-0 before coming up just short in a 22-18 final . Against Philadelphia, the early deficit was 16-0, and the final margin was 25-20. To me, these are testaments to Bill Belichick and his staff game-planning for a top-tier opponent very effectively, but they're also coming up short because of the talent differential. Yes, the Patriots were one Kayshon Boutte foot from perhaps winning the game. And though the Pats made up for lost time offensively, they must quickly find a way to avoid slow starts, or this team could find itself in holes it can't dig out of."
2023,2,26,Los Angeles Rams,1-0,"Sean McVay delivered a relative masterpiece of found art , if you will, leading a Cooper Kupp -less offense to a fairly dominant performance that saw the Rams control the ball for nearly 40 minutes with long, sustained drives -- and a few out-of-character wrinkles, to boot. Without Kupp, Los Angeles opted for more gap runs and power plays, and though 37 handoffs only netted 81 rush yards, the ground game served its purpose: keeping the Seahawks' offense off the field. The Rams also found a pretty good Kupp doppelgÃ¤nger in rookie Puka Nacua , who had 10 catches (on 15 targets) for 119 yards, including a diving grab on the sideline to help ice the game late. Defeating Seattle might have been a stunning result, but don't forget that this McVay guy can coach a little."
2023,2,27,Carolina Panthers,0-1,"There have been far worse first starts in the history of the NFL, but I honestly thought Bryce Young would play a tad better than he did in Sunday's loss to the Falcons. Jessie Bates baited him into two picks , in virtually the same way both times. Those should provide a good lesson for the rookie: He can't always get away with some of those tight-window throws he loves. Yet, it was pretty clear that the game was not too big for Young -- and that's what makes me confident he'll be fine. The No. 1 overall pick misfired on some passes, including what could have been a 99-yard TD to Jonathan Ming o , but that was one of the few times a receiver had clear separation. Young struggled, but his playmakers didn't do him a ton of favors. He should settle in with more help."
2023,2,28,New York Giants,0-1,"The Giants had the most disheartening Week 1 performance. At the center of the struggles in the 40-zip home loss to Dallas : the team's past two first-round picks, its $40 million quarterback and the franchise-tagged running back. The Cowboys' pick-six off Saquon Barkley 's hands really set the tone for a dismal night. Daniel Jones was sacked seven times and didn't complete a pass longer than 9 yards until Dallas was up 26-0. This year's first-rounder, CB Deonte Banks , left the game with cramps, and one of last year's first-rounders, Evan Neal , was worked over in pass pro. If you're a Giants fan, maybe you take solace in the fact that the 2022 Vikings lost 40-3 to the Cowboys at home last season before finishing 13-4. Or maybe you start worrying about four of the Giants' next five games being on the road."
2023,2,29,Chicago Bears,0-1,"There weren't a ton of positives to take away from the opener, which ended in a ninth straight loss to Green Bay. Justin Fields wasn't bad , per se, but he was hardly great -- and the overall offensive struggles were such that any offseason optimism anyone might have been feeling was severely tamped down. Netting 6 points on the first three possessions hurt, as the Bears turned the ball over on downs and got bogged down twice deep in Green Bay territory. The offensive line was a sieve. There were five offensive penalties. And Fields threw a horrific pick-six late that sealed it. On top of that, Chicago's defense fell flat, too: The Bears were inconsistent with their pass rush and coverage, generated zero turnovers and executed poorly on third and fourth down. There was more bad here than I imagined the Bears having in Week 1."
2023,2,30,Indianapolis Colts,0-1,"Anthony Richardson 's first NFL start was an interesting Rorschach test, simultaneously providing encouragement and a reminder of how far he and the Colts still must come. Elements of the Jalen Hurts playbook that made Shane Steichen a hot coaching candidate were on display, notably with Richardson's TD draw play . But part of what was missing was the downfield passing. Most of Richardson's throws were quick, and 136 of his 223 passing yards came after the catch. He also dealt with a knee injury (suffered in the first quarter ) and ankle injury on Sunday, coming out of the game in the final minute. Richardson's running ability was as advertised, and there were impressive throws scattered throughout, but you can tell this offense is in its developmental infancy."
